,Country,Quality of Life Index (2018)
,,
,Denmark,197.7
,Finland,195.3
,Netherlands,191.3
,Switzerland,190.8
,Austria,190.2
,Germany,190.0
,Australia,188.7
,New Zealand,182.4
,United States,180.6
,Sweden,176.8
,Estonia,176.4
,Norway,176.3
,Japan,176.0
,Slovenia,175.4
,Spain,174.9
,Canada,173.9
,United Kingdom,171.9
,Portugal,166.7
,France,166.2
,Belgium,164.0
,United Arab Emirates,163.5
,Ireland,163.5
,Taiwan,163.3
,Croatia,162.4
,Czech Republic,162.0
,Qatar,159.6
,South Korea,155.4
,Slovakia,155.4
,Israel,152.2
,Singapore,150.5
,Saudi Arabia,149.6
,Lithuania,149.0
,Poland,146.6
,Italy,146.1
,Romania,144.0
,South Africa,137.9
,Greece,137.4
,Hungary,132.3
,Argentina,131.8
,Bulgaria,129.7
,Bosnia And Herzegovina,129.3
,Turkey,127.6
,Mexico,126.4
,Serbia,123.5
,Chile,122.7
,India,122.1
,Malaysia,116.0
,Indonesia,112.9
